Name,Gender,Position,Height,Weight,Arm Length (inches),Hand Size (inches),Wingspan (inches),Max Velocity (mph),Arm Strength Velocity (mph),Arm Strength Distance (yards),Catch Radius (feet),3 Cone Drill (sec),20 Yard Shuttle (sec),40 Yard Dash (sec),10 Yard Split (sec),Bench Reps at 225,1 Rep Max Press (lbs),1 Rep Max Squat (lbs),Power Clean (lbs),Vertical Jump (inches),Broad Jump (feet),Positions Played,Field Goal Distance (yards),Field Goal Accuracy (%),Field Goal Consistency (avg misses),Punt Distance (yards),Punt Hang Time (seconds),Punt Accuracy (%),Punt Consistency (yards)
Derek Romero,Male,Running Back,6.92,175,35.9,10.4,83.1,20.1,55.7,60.4,13.5,7.15,4.4,4.73,1.6,15,320,574,415,29.6,11.5,3,40,0.55,2.5,31,5.47,0.27,30
Joseph Campbell,Male,Wide Receiver,6.42,197,29.8,9.8,80.7,18.9,59.7,42.8,11.2,6.66,3.77,4.95,1.67,37,415,448,367,25.0,9.0,3,25,0.89,1.3,74,4.09,0.38,37
Justin Baker,Male,Cornerback,5.5,259,30.4,8.0,71.6,23.1,59.0,56.2,7.0,5.71,4.94,4.56,1.57,8,274,403,437,22.6,9.7,2,15,0.89,0.9,64,4.36,0.4,51
Gary Richardson,Male,Quarterback,6.42,221,39.7,8.4,80.8,23.3,55.5,66.7,11.0,7.73,3.57,4.21,1.95,36,532,570,214,23.5,7.4,4,42,0.62,0.6,45,3.42,0.42,42
Victor Hayes,Male,Wide Receiver,6.0,229,30.6,10.3,71.9,21.9,50.1,55.1,14.8,5.61,5.41,4.26,1.46,30,341,624,224,33.8,9.9,1,19,0.89,1.1,55,4.16,0.28,31
Justin Howard,Male,Punter,5.75,263,37.6,10.1,80.7,24.3,50.7,65.7,7.4,7.9,3.58,5.35,1.83,29,521,305,229,40.5,12.7,4,60,0.92,0.2,47,3.55,0.33,41
Robert Hawkins,Male,Defensive Lineman,6.17,223,25.9,8.6,71.7,19.1,59.4,69.5,12.7,6.89,4.78,4.71,1.99,28,342,434,395,36.2,7.2,1,53,0.73,0.5,62,4.81,0.35,30
Jason Campbell,Male,Punter,5.92,312,35.1,8.7,72.4,17.3,67.8,40.9,8.9,7.46,4.28,4.24,1.51,35,299,330,403,26.5,10.2,2,20,0.62,2.6,43,3.39,0.33,53
David Hopkins,Male,Kicker,5.42,335,25.1,10.2,79.5,16.9,61.3,44.3,6.2,7.19,3.86,5.33,1.43,8,490,368,400,25.2,9.9,1,37,0.82,2.4,33,3.51,0.26,37
Phillip Mcgee,Male,Wide Receiver,5.08,272,38.2,9.7,72.7,16.9,67.0,65.2,13.9,7.01,4.78,4.75,1.33,7,386,658,352,40.5,6.8,4,56,0.66,0.9,45,3.99,0.49,59
John Scott,Male,Wide Receiver,5.17,194,29.5,8.7,65.9,19.8,56.3,63.2,14.7,6.46,5.31,4.65,1.72,17,317,750,420,21.7,11.2,2,44,0.63,1.5,52,5.01,0.39,33
Logan Summers,Male,Cornerback,5.42,290,28.2,7.8,74.8,19.9,59.4,51.3,9.2,7.21,4.85,5.16,1.5,45,255,471,413,32.2,7.9,2,25,0.7,1.7,30,3.43,0.26,56
Ralph Stevenson,Male,Offensive Lineman,6.5,186,28.2,10.2,69.2,21.1,62.5,41.1,5.4,7.21,4.78,5.4,1.78,29,392,603,293,42.1,7.6,3,41,0.71,2.1,27,3.2,0.26,33
Michael Burton,Male,Running Back,6.58,175,28.5,8.8,67.8,22.3,60.0,51.5,5.3,6.99,3.84,5.11,1.66,14,360,617,215,34.8,12.2,4,61,0.83,1.6,62,3.47,0.43,44
Michael Brown,Male,Defensive Lineman,5.42,173,39.1,8.2,75.9,23.2,58.7,59.2,12.5,6.53,4.28,4.5,1.62,37,540,368,478,21.4,9.7,4,40,0.55,1.4,59,4.54,0.45,31
Andrew Evans,Male,Linebacker,6.17,181,35.1,10.4,65.2,20.5,68.2,51.7,8.7,6.18,5.42,4.36,1.32,21,490,353,334,35.0,11.0,1,27,0.79,1.5,69,3.37,0.49,55
Lucas Huerta,Male,Offensive Lineman,6.5,267,25.5,8.8,72.8,21.7,60.2,67.1,11.7,7.12,4.77,5.35,1.92,5,440,624,322,36.6,7.1,2,22,0.77,2.7,48,4.64,0.37,38
Jonathan Rodriguez,Male,Quarterback,5.83,315,33.0,8.9,82.5,21.8,65.4,45.7,7.3,5.97,4.29,4.35,1.32,19,351,404,232,37.2,6.7,3,17,0.93,0.6,35,3.97,0.45,49
Adam Reid,Male,Running Back,5.5,177,26.8,10.4,66.9,17.7,55.2,42.7,8.5,5.71,5.31,4.73,1.46,28,390,589,497,22.5,6.5,1,16,0.93,2.3,53,4.68,0.32,37
Thomas George,Male,Safety,5.92,336,26.6,8.3,68.0,16.3,67.1,42.6,6.3,7.72,5.14,4.91,1.46,15,261,449,493,23.9,10.1,1,47,0.82,0.4,44,3.1,0.41,43
Randall Mcdonald,Male,Cornerback,5.67,327,29.8,10.4,82.1,17.4,66.6,41.6,14.3,7.51,3.77,5.12,1.75,16,496,610,323,41.6,10.8,3,38,0.84,0.9,55,5.05,0.29,45
Jesse Walker,Male,Cornerback,5.67,188,33.3,8.8,78.7,22.4,64.7,60.0,7.0,5.61,4.77,4.5,1.31,34,474,335,274,30.9,12.2,3,61,0.76,2.4,75,3.5,0.47,59
Thomas Conrad,Male,Offensive Lineman,5.67,201,38.7,8.9,66.1,16.4,51.9,70.1,7.5,7.31,4.53,4.77,1.69,17,477,413,291,42.8,7.6,3,39,0.88,2.7,54,4.42,0.34,50
Robert Williams,Male,Offensive Lineman,5.25,333,33.2,10.0,78.9,17.1,50.3,48.8,5.9,6.52,4.0,4.97,1.58,21,532,624,250,39.5,7.9,1,46,0.89,1.4,36,4.46,0.48,43
John Moore,Male,Offensive Lineman,6.83,201,38.7,10.0,84.1,19.2,69.0,51.4,8.3,7.7,4.91,4.94,1.5,32,350,339,369,24.0,10.8,1,49,0.79,0.6,25,4.52,0.49,56
Bradley Hunt,Male,Offensive Lineman,5.83,286,34.1,8.1,77.5,22.9,63.3,74.1,5.6,5.65,4.57,4.27,1.3,40,372,547,403,27.5,10.3,1,58,0.6,0.8,35,3.38,0.43,60
Michael Andrews,Male,Cornerback,6.75,199,35.9,8.4,68.3,24.9,53.8,44.3,6.8,5.89,3.92,5.19,1.52,39,457,474,448,34.2,7.7,2,40,0.75,2.2,56,4.67,0.39,53
Micheal Mcintosh,Male,Safety,5.08,161,38.0,9.4,76.2,18.6,50.2,43.8,5.8,6.45,3.56,5.34,1.53,11,473,345,451,27.1,11.2,1,17,0.7,1.2,44,3.56,0.47,40
Michael Richardson,Male,Kicker,5.42,272,36.6,8.1,75.5,22.0,66.4,41.2,7.4,7.65,3.58,4.67,1.39,40,308,666,204,22.5,6.2,3,33,0.58,1.2,60,3.97,0.45,41
Peter Juarez,Male,Offensive Lineman,5.92,246,25.4,8.0,79.8,18.8,67.0,49.3,7.9,6.99,4.06,4.47,1.93,24,359,462,326,43.8,9.2,2,34,0.67,2.3,49,4.24,0.27,56
Terry Wheeler,Male,Linebacker,5.5,150,27.5,9.1,83.0,18.5,54.5,41.1,11.1,6.83,5.13,4.48,1.44,30,532,572,422,37.0,12.8,4,20,0.56,0.3,39,4.3,0.41,31
Ryan Johnson,Male,Punter,6.67,251,32.9,9.0,71.4,21.0,67.6,58.2,7.4,7.67,4.15,4.29,1.56,22,422,679,213,21.7,9.9,1,43,0.85,0.7,34,3.95,0.38,33
Nicholas Rodriguez,Male,Punter,5.83,290,27.6,9.8,67.1,19.0,67.2,67.5,5.8,6.04,4.1,5.31,1.53,39,370,731,248,42.8,6.9,2,36,0.63,2.5,57,4.29,0.32,52
Daniel Cox,Male,Punter,6.25,233,37.4,7.7,82.0,16.4,68.1,69.6,14.6,6.04,4.87,4.57,1.44,5,452,702,230,39.8,7.1,2,65,0.88,2.9,31,4.63,0.3,49
Antonio Franco,Male,Punter,5.25,170,25.3,8.9,67.6,19.1,56.8,40.7,8.9,5.93,4.95,4.83,1.82,36,313,574,461,23.3,11.8,1,51,0.75,0.4,46,3.64,0.27,35
Dylan Green,Male,Punter,5.17,235,32.8,7.9,71.8,18.4,60.4,68.0,8.8,7.78,4.96,5.34,1.75,21,400,506,413,20.1,8.3,1,48,0.95,0.2,47,4.85,0.5,46
Alvin Harrington,Male,Kicker,5.25,288,35.0,7.6,71.5,19.1,50.9,74.0,7.7,7.27,4.74,5.39,1.74,41,548,430,465,41.0,10.3,2,32,0.83,1.8,59,3.16,0.28,59
Ronald Lopez,Male,Safety,5.0,236,30.3,8.6,68.5,18.4,68.9,67.6,12.1,7.54,5.43,5.34,1.65,41,543,359,441,31.8,6.7,2,10,0.69,0.9,35,3.19,0.46,41
Anthony Wilson,Male,Running Back,5.5,316,32.4,8.1,71.3,20.9,59.5,63.4,10.1,7.94,4.46,5.42,1.51,23,487,551,396,27.8,12.4,4,59,0.89,1.0,68,4.58,0.33,54
Sean Harris,Male,Quarterback,6.08,277,36.6,9.3,65.2,18.5,50.3,65.3,14.3,6.0,4.91,4.97,1.45,30,463,469,498,41.7,10.3,3,47,0.64,2.3,73,4.28,0.4,60
Patrick Hall,Male,Running Back,6.83,298,36.8,9.1,82.5,20.3,63.1,64.2,13.6,6.89,4.0,4.27,1.46,24,477,345,470,35.2,7.1,2,49,0.81,0.5,47,4.09,0.45,41
Mark Smith,Male,Punter,5.33,184,26.3,8.5,79.6,18.5,66.9,62.7,11.5,5.92,3.54,4.2,1.54,40,403,586,414,24.6,8.8,3,48,0.66,1.4,32,5.05,0.32,32
Michael Mcintosh,Male,Linebacker,6.58,163,38.7,8.2,80.4,22.9,65.8,61.8,8.0,7.66,4.88,5.01,1.68,22,364,608,494,32.4,13.0,4,53,0.73,2.8,74,3.66,0.41,39
David Johnson,Male,Punter,5.75,324,37.5,7.7,82.3,21.0,61.5,50.2,10.4,7.96,4.55,4.88,1.5,5,494,439,462,33.7,7.4,3,47,0.73,1.3,63,3.93,0.4,60
Michael Rogers,Male,Running Back,6.25,293,30.3,10.4,70.7,24.0,68.7,68.2,5.7,7.04,5.13,4.47,1.92,15,373,658,315,27.9,9.6,4,14,0.77,1.7,74,3.55,0.3,34
Jose Lewis,Male,Linebacker,5.58,218,29.4,9.1,78.0,17.2,60.9,45.3,14.0,6.38,3.87,4.39,1.73,7,339,735,200,34.4,6.7,2,16,0.79,2.6,28,3.69,0.37,38
David Freeman,Male,Tight End,6.83,225,38.0,7.6,78.0,18.4,64.0,50.4,6.4,5.76,4.14,5.01,1.31,29,371,480,426,35.1,10.1,1,40,0.79,2.5,48,3.12,0.27,39
James Nunez,Male,Cornerback,6.5,165,34.1,7.6,76.0,22.2,65.2,44.1,14.6,6.17,3.6,4.58,1.81,27,345,535,308,28.8,9.1,4,46,0.66,0.1,59,4.25,0.47,55
Anthony Lowe,Male,Kicker,6.75,347,25.6,8.0,68.8,23.9,53.9,50.1,14.9,6.35,4.03,5.02,1.4,35,340,606,206,33.7,8.8,2,40,0.94,0.1,36,3.68,0.49,46
Tyler King,Male,Quarterback,5.83,251,35.6,9.4,66.3,23.6,61.4,55.8,8.6,6.84,4.38,5.07,1.72,41,286,336,414,44.5,8.4,2,14,0.73,2.7,31,3.5,0.4,51
Jason Byrd,Male,Safety,5.67,229,25.2,10.5,79.3,20.3,65.7,69.8,12.1,7.01,4.5,5.13,1.74,8,400,641,330,30.2,12.8,3,10,0.61,0.5,33,4.98,0.28,37
Isaac Howard,Male,Running Back,5.5,158,26.6,8.5,80.7,22.0,61.6,66.3,12.8,7.77,3.72,4.86,1.7,33,490,598,415,30.7,7.9,2,64,0.68,2.1,70,5.3,0.26,50
Richard Lewis,Male,Safety,6.0,350,36.6,8.6,83.2,22.4,54.9,47.3,11.0,7.12,4.8,5.38,1.79,28,488,582,232,30.0,7.1,4,57,0.56,0.5,25,5.23,0.27,31
Chad Patterson,Male,Wide Receiver,6.33,161,25.1,8.0,77.6,20.2,59.4,60.6,7.6,7.16,3.71,5.1,1.74,35,382,390,294,36.4,7.9,1,19,0.91,2.8,71,3.19,0.25,33
Steven Cole,Male,Linebacker,5.58,227,35.6,8.8,66.0,20.1,65.4,72.8,12.7,5.9,4.51,4.82,1.74,15,315,419,389,27.8,7.9,3,63,0.71,1.5,75,4.01,0.26,34
Corey Walker,Male,Offensive Lineman,6.92,262,34.8,8.8,81.6,18.5,54.3,52.2,5.4,5.71,3.55,4.64,1.68,9,441,629,456,43.5,11.1,4,56,0.63,1.2,67,4.52,0.34,58
Carlos Mccullough,Male,Punter,6.83,345,39.1,8.8,66.4,17.4,68.9,48.2,14.1,6.43,4.21,5.07,1.46,43,357,520,383,43.5,6.3,4,12,0.57,1.1,35,3.2,0.46,60
Thomas Scott,Male,Quarterback,6.92,225,28.8,9.9,75.7,23.9,53.3,61.4,7.3,6.42,5.5,5.31,1.45,9,432,577,446,42.1,6.9,4,53,0.73,1.4,60,3.55,0.48,51
Mark Dunn,Male,Cornerback,5.25,200,28.4,9.3,67.6,16.3,52.1,50.4,11.6,5.91,5.38,5.27,1.37,11,449,602,274,24.0,7.5,2,64,0.76,0.7,28,3.92,0.44,36
Kyle Morton,Male,Defensive Lineman,6.17,187,34.6,7.9,71.0,23.3,51.6,45.3,9.4,7.01,3.85,5.07,1.47,26,532,610,311,25.9,9.5,3,28,0.87,1.4,73,3.59,0.38,46
Peter Ball,Male,Quarterback,5.42,201,39.4,8.0,75.5,24.5,55.0,61.0,14.1,7.25,3.88,5.12,1.9,35,503,705,265,20.5,9.7,4,21,0.67,0.9,47,4.89,0.32,47
David Klein,Male,Wide Receiver,6.83,226,25.7,9.9,76.4,23.1,65.4,45.4,13.0,6.01,3.82,4.24,1.58,43,268,533,350,35.6,6.5,1,22,0.55,0.7,46,3.3,0.38,58
Mark Monroe,Male,Cornerback,6.33,231,39.5,9.5,73.4,18.9,55.5,63.6,10.1,7.87,5.49,4.86,1.36,23,423,497,415,33.3,11.2,4,12,0.59,1.3,40,3.11,0.47,37
Tyler Mitchell,Male,Linebacker,5.67,150,37.7,9.3,76.3,20.3,67.7,63.5,8.7,6.51,3.61,4.84,1.9,25,499,498,212,22.9,12.8,1,31,0.61,2.2,63,3.63,0.39,36
Michael Holt,Male,Defensive Lineman,6.33,312,25.1,8.6,68.6,24.4,55.7,47.3,9.9,6.51,4.65,4.29,1.66,35,470,340,382,22.4,10.0,3,57,0.95,1.3,71,3.81,0.4,37
Michael Taylor,Male,Safety,6.42,216,27.6,8.2,74.3,22.8,68.8,65.4,10.1,5.57,5.07,5.18,1.55,27,436,473,279,30.0,12.6,1,61,0.64,1.7,57,4.66,0.35,41
Jonathon Tyler,Male,Cornerback,6.17,278,27.5,8.9,66.5,16.3,63.9,50.6,10.4,6.67,5.49,4.93,1.32,34,285,595,416,37.6,6.1,2,60,0.92,2.1,73,3.24,0.33,60
Wayne Williams,Male,Safety,6.08,237,38.2,10.4,70.0,21.1,62.2,67.7,11.2,5.6,4.91,4.79,1.86,44,267,683,314,35.6,8.5,4,65,0.65,2.9,71,3.98,0.4,35
Roger Decker,Male,Defensive Lineman,5.92,178,32.6,8.2,75.5,22.2,57.9,70.1,14.6,7.38,4.27,4.62,1.72,41,345,735,300,32.7,9.8,2,24,0.61,1.1,75,5.2,0.45,44
David Short,Male,Wide Receiver,6.83,195,32.3,10.5,78.7,21.4,51.5,56.5,14.7,7.54,4.29,5.07,1.33,45,311,476,481,23.2,11.5,1,21,0.79,1.1,69,3.78,0.34,50
Christopher Cox,Male,Wide Receiver,5.33,297,28.7,9.8,67.6,21.0,50.5,55.3,12.5,7.09,3.97,5.37,1.59,20,350,645,488,24.5,7.8,2,39,0.88,2.3,34,3.16,0.33,56
James Rogers,Male,Quarterback,5.67,259,32.8,8.1,83.5,24.7,63.2,74.7,5.1,5.6,4.04,4.71,1.54,24,294,423,337,21.7,12.3,3,28,0.69,1.6,30,3.36,0.42,46
Jeff Cisneros,Male,Quarterback,5.33,277,26.1,10.2,84.4,23.1,60.2,50.3,9.6,5.67,4.61,4.67,1.38,31,524,498,203,28.9,8.3,4,24,0.74,0.4,72,4.72,0.31,36
Chad Vega,Male,Punter,5.33,191,32.1,8.2,79.7,18.8,52.0,46.1,11.6,7.62,4.26,5.3,1.73,22,327,379,266,25.9,9.0,2,24,0.66,0.3,30,5.33,0.46,58
Tommy Cole,Male,Quarterback,5.5,176,34.9,7.6,79.8,23.8,55.9,48.3,12.5,7.21,3.94,4.46,1.36,14,254,453,237,20.1,11.4,2,50,0.66,1.7,30,4.74,0.49,30
Jason Bryant,Male,Tight End,5.33,224,38.0,8.9,74.4,20.1,65.7,65.2,12.9,7.32,3.88,4.35,1.31,13,273,337,463,31.7,9.7,1,48,0.71,2.3,49,4.46,0.42,50
Franklin Arias,Male,Defensive Lineman,6.0,195,35.8,9.8,75.8,22.9,57.4,51.3,7.8,6.65,3.67,4.94,1.94,21,420,697,436,26.1,8.0,2,28,0.63,2.7,54,3.51,0.34,53
Derrick Santos,Male,Punter,6.33,277,39.5,10.2,73.0,17.3,52.7,59.4,13.6,6.99,4.55,5.02,1.79,27,383,571,347,32.5,9.0,4,19,0.69,0.9,58,3.27,0.44,34
Andre Watson,Male,Kicker,5.75,155,28.5,7.9,76.3,17.9,50.9,66.4,5.4,7.35,4.09,4.53,1.86,19,497,502,223,20.9,7.0,2,56,0.55,0.1,56,4.08,0.46,48
Dominic Smith,Male,Running Back,6.0,200,28.2,9.1,69.5,22.6,52.1,62.4,7.8,7.46,5.46,4.96,1.98,10,401,709,285,29.9,7.5,3,43,0.56,0.3,48,4.2,0.29,58
Jamie Matthews,Male,Cornerback,6.58,295,37.6,7.8,71.9,20.8,65.9,48.0,14.4,6.85,3.77,4.72,1.47,25,469,573,354,35.1,7.9,2,42,0.62,2.4,56,5.48,0.44,41
Johnathan Blackwell,Male,Wide Receiver,6.17,174,33.9,8.9,67.1,23.2,57.7,61.9,7.8,5.85,4.31,5.29,1.49,15,408,300,289,25.9,8.4,2,44,0.87,0.9,28,3.92,0.25,34
Brent Kim,Male,Wide Receiver,5.75,235,36.3,7.9,74.7,16.5,66.3,49.2,10.1,6.96,4.36,4.37,1.62,19,450,632,372,38.9,9.0,1,55,0.75,0.4,68,5.5,0.27,59
William Shepherd,Male,Defensive Lineman,5.42,248,35.1,10.0,65.8,20.5,65.0,50.5,8.1,6.47,3.84,4.56,1.93,24,333,502,463,31.8,12.2,4,46,0.57,2.5,29,3.29,0.43,49
Matthew Hernandez,Male,Offensive Lineman,6.58,304,39.8,7.7,78.8,17.3,65.0,60.3,10.0,7.19,4.36,5.47,1.87,9,544,326,399,42.2,6.7,4,54,0.9,2.7,36,3.03,0.33,32
Matthew Walsh,Male,Cornerback,5.83,318,32.0,8.0,77.8,21.1,60.0,47.8,13.4,5.85,5.4,5.18,1.55,41,329,615,490,36.3,9.5,1,18,0.63,1.5,29,3.66,0.45,42
John Harvey,Male,Quarterback,5.67,246,33.5,10.2,75.7,18.3,64.2,62.5,5.8,6.55,3.96,5.42,1.47,22,397,748,234,42.3,12.8,1,12,0.76,1.1,70,3.22,0.4,41
Roberto Martin,Male,Offensive Lineman,6.75,326,31.1,9.8,65.1,17.9,64.4,43.1,11.9,5.67,5.17,5.42,1.85,27,503,440,313,42.3,8.9,4,45,0.82,0.0,74,5.4,0.28,48
Keith Ochoa,Male,Safety,5.0,251,34.8,9.3,83.7,16.3,58.5,54.0,13.6,7.88,5.28,4.77,1.87,9,278,591,322,42.3,12.8,2,22,0.68,0.3,67,4.75,0.47,54
Jimmy Anderson,Male,Safety,6.08,286,28.5,8.2,76.7,18.1,60.1,62.3,8.6,7.81,3.74,5.25,1.82,37,492,436,301,23.4,8.7,2,52,0.67,1.2,49,5.33,0.44,47
David Jones,Male,Defensive Lineman,6.25,156,37.1,8.1,65.4,16.5,50.1,47.1,13.4,7.31,4.77,4.81,1.8,32,431,494,262,41.0,8.0,2,25,0.64,0.5,25,4.44,0.47,53
Jesus Olson,Male,Offensive Lineman,5.33,214,37.3,8.6,74.0,19.9,68.4,60.0,12.5,5.95,3.69,4.99,1.74,20,417,325,330,32.2,8.3,4,37,0.93,1.2,29,3.74,0.25,46
Manuel Wood,Male,Defensive Lineman,5.67,167,33.7,9.0,69.4,16.2,56.2,60.8,9.2,6.73,5.26,4.72,1.59,11,412,450,345,41.5,7.5,2,20,0.81,1.2,28,5.05,0.3,31
Christopher Taylor,Male,Linebacker,6.58,204,29.2,9.8,71.6,17.6,51.3,55.8,14.4,6.15,4.68,5.25,1.73,18,275,521,466,26.0,7.7,4,11,0.59,1.3,26,4.82,0.29,41
John Reynolds,Male,Cornerback,5.67,309,39.5,8.9,67.1,17.4,54.2,40.9,8.2,7.22,4.88,4.46,1.97,7,383,727,339,22.3,10.5,3,47,0.67,0.5,58,3.97,0.29,51
Adrian Williams,Male,Defensive Lineman,6.58,206,36.5,7.9,84.7,16.6,67.4,55.3,6.4,5.94,4.59,4.41,1.5,19,464,667,320,22.9,11.6,3,37,0.93,2.2,55,3.63,0.3,42
Joseph Soto,Male,Linebacker,6.58,278,32.8,8.5,70.6,16.1,55.0,64.9,10.0,6.04,3.6,5.02,1.59,8,354,526,290,32.5,7.2,2,16,0.8,1.6,54,5.33,0.46,31
Christopher Campbell,Male,Running Back,5.92,200,31.8,10.3,79.5,17.5,58.3,53.2,12.2,7.69,4.62,5.48,1.95,42,280,641,442,32.4,12.6,2,37,0.88,2.3,37,4.11,0.25,45
Frederick Miles,Male,Punter,5.83,317,35.5,9.2,67.3,18.3,52.7,73.8,11.4,6.6,4.31,4.47,1.71,38,509,579,470,38.6,11.3,1,53,0.75,2.1,42,3.49,0.3,36
Edwin Orr,Male,Tight End,5.67,163,32.6,10.1,84.9,17.4,63.1,68.2,9.8,6.98,4.18,5.28,1.84,20,426,507,245,28.0,7.6,3,31,0.91,0.1,39,5.05,0.49,45
Patrick Madden,Male,Quarterback,6.25,315,29.5,8.4,75.0,24.5,65.0,58.0,7.7,5.97,5.04,5.09,1.7,24,513,473,460,34.8,9.6,4,41,0.64,1.3,70,3.69,0.36,43
Joshua Perez,Male,Linebacker,5.17,235,25.1,9.7,65.0,17.3,58.9,46.4,9.3,6.66,4.57,4.56,1.76,17,425,310,418,22.9,8.3,2,50,0.62,1.6,53,5.12,0.35,41
Nathan David,Male,Cornerback,5.33,322,39.0,8.3,72.0,17.6,62.6,70.5,13.2,6.46,3.85,4.58,1.91,31,467,713,423,31.9,10.6,3,32,0.67,2.0,44,5.05,0.3,46
Bryan Collins,Male,Punter,6.08,210,28.5,10.1,72.5,22.1,65.7,69.9,5.7,7.43,3.8,5.24,1.56,9,480,717,404,31.9,11.4,3,16,0.64,0.8,35,3.45,0.27,37
Michael Young,Male,Running Back,6.92,289,39.9,7.5,81.7,21.6,58.6,48.5,13.4,7.85,3.71,4.82,1.96,20,487,599,367,37.5,6.1,2,30,0.57,0.1,57,3.98,0.42,44
Michael Franklin,Male,Defensive Lineman,5.42,324,33.9,10.2,74.5,19.3,59.7,69.6,11.7,7.39,3.72,5.22,1.49,38,267,583,211,24.9,8.7,1,60,0.61,0.4,50,3.73,0.32,43
