ID,Name,Gender,Height (ft),Weight (lbs),Arm Length (inches),Hand Size (inches),Max Velocity (mph),Vertical Jump (inches),Broad Jump (feet),Date,Sport,Activity.Name,Position.Name,Total.Duration,Total.Player.Load,Total.Distance..m.,Training.HSR,Heart.Rate.Exertion,Heart.Rate.Exertion.Per.Minute,Velocity.B3..Total...Efforts..Gen.2...Set.2.,Velocity.Band.2.Total.Distance..Set.2...m.,Velocity.Band.3.Total.Distance..Set.2...m.,Velocity.Band.4.Total.Distance..Set.2...m.,Acceleration.B2.3.Total.Efforts..Gen.2.,Deceleration.B2.3.Total.Efforts..Gen.2.,IMA.H.M.Accel,IMA.H.M.Decel,IMA.CoD.Left.High,IMA.CoD.Left.Medium,IMA.CoD.Right.High,IMA.CoD.Right.Medium,Maximum.Velocity..mph.,Week_of_Year
12,Steve Perez,Male,6.44,147,29.5,8.7,11.6,28,11.0,8/24/2021,Soccer,Training,Midfielder,72.1,1012.33,10116.68,8.98,8055.5,108.42,2.76,319.79,971.8,88.69,12.86,19.89,5.82,80.21,44.22,8.87,12.06,13.16,17.73,34
13,Ivy Quinn,Female,6.16,216,36.4,6.9,11.7,46,7.4,8/25/2021,Soccer,Training,Midfielder,81.68,1048.68,4109.16,1.98,1173.93,52.39,2.3,855.57,520.33,226.71,62.32,69.82,43.76,64.36,54.43,20.81,38.45,14.4,11.75,34
14,Charlie Khan,Male,4.92,111,30.3,6.5,24.1,47,11.8,8/27/2021,Soccer,Game,Midfielder,69.47,56.9,5147.38,2.46,2673.31,166.11,9.41,557.06,410.24,811.46,14.3,48.58,28.45,53.74,59.9,57.13,30.89,14.67,15.91,35
15,Hank Brown,Male,4.86,232,39.2,9.5,23.1,47,11.9,8/28/2021,Soccer,Game,Midfielder,30.07,219.21,9689.86,6.8,13140.61,171.42,6.1,222.42,942.37,17.9,2.17,13.13,40.94,0.39,9.0,18.62,29.59,33.66,15.36,35
16,Grace Nelson,Female,4.87,147,39.4,7.1,16.8,44,6.9,8/30/2021,Soccer,Training,Midfielder,35.38,845.85,6191.94,3.13,17110.62,135.21,1.73,977.76,783.63,102.15,22.19,37.79,22.74,11.24,45.34,45.52,6.99,32.02,3.25,35
17,Jack Quinn,Male,5.11,136,34.3,6.9,24.8,22,5.3,8/31/2021,Soccer,Training,Midfielder,143.76,781.47,9973.99,4.61,17186.15,106.94,3.54,779.0,201.89,391.21,15.99,47.09,21.45,50.93,31.29,43.83,11.69,0.17,12.41,35
18,Ivy Mitchell,Female,5.55,143,38.9,9.4,10.0,41,9.9,9/1/2021,Soccer,Training,Midfielder,149.06,767.75,4389.2,8.92,10402.61,155.42,6.56,487.63,188.54,663.0,12.33,38.26,17.03,49.66,8.58,48.59,38.3,5.13,18.28,35
19,Steve Irwin,Male,5.36,114,36.4,9.3,19.2,42,8.2,9/2/2021,Soccer,Training,Midfielder,35.79,981.64,9179.72,4.36,3917.6,105.31,7.37,447.94,446.91,679.34,21.98,28.65,35.99,32.05,8.3,62.38,24.61,0.34,6.21,35
20,Diana Owens,Female,5.08,142,33.2,7.8,19.2,33,5.7,9/3/2021,Soccer,Game,Midfielder,112.0,667.77,9096.43,7.92,6800.9,159.15,1.75,11.33,278.35,879.8,38.81,45.44,41.76,15.94,47.27,37.75,11.02,15.91,9.52,36
21,Nina Clark,Female,5.72,186,27.7,8.0,16.9,45,10.0,9/5/2021,Soccer,Game,Midfielder,115.88,273.09,7812.74,4.54,1258.11,64.52,1.25,901.96,61.85,596.84,11.26,14.76,40.25,3.02,58.14,14.81,5.69,32.77,1.58,36
22,Quincy Foster,Male,4.78,169,31.9,6.9,16.0,44,5.2,9/7/2021,Soccer,Training,Midfielder,42.11,644.74,2906.84,3.66,17307.74,61.28,4.02,315.17,309.69,256.01,31.11,42.24,44.85,42.52,53.09,49.35,16.47,4.02,1.77,36
23,Karen Jackson,Female,5.08,145,33.4,6.3,16.8,34,11.1,9/8/2021,Soccer,Training,Midfielder,105.51,738.19,1706.8,2.09,2414.75,138.87,7.85,296.97,262.79,226.17,21.94,59.03,22.44,73.38,28.56,28.32,23.62,33.51,12.88,36
24,Grace Lopez,Female,5.23,207,38.0,8.3,16.2,21,6.0,9/10/2021,Soccer,Training,Midfielder,143.61,398.18,7496.44,0.22,1824.62,146.07,0.18,161.38,525.12,815.22,19.01,61.67,17.54,22.41,61.1,63.46,3.68,37.01,16.25,37
25,Leo Owens,Male,5.41,222,32.2,6.4,21.0,43,5.9,9/11/2021,Soccer,Training,Midfielder,102.54,303.13,4333.73,8.49,9853.11,100.32,7.83,844.49,437.76,256.21,17.98,56.6,20.71,73.14,8.14,13.65,24.9,37.77,15.36,37
26,Oscar Irwin,Male,6.07,120,38.5,7.8,12.0,33,6.2,9/12/2021,Soccer,Game,Midfielder,45.9,336.27,3604.36,7.99,9956.4,144.48,6.07,692.62,83.73,341.67,65.72,23.46,11.79,0.53,29.49,41.59,11.41,27.23,3.25,37
27,Jack Owens,Male,4.9,206,35.1,9.8,13.0,35,11.7,9/14/2021,Soccer,Training,Midfielder,13.44,1059.85,5200.06,5.24,16323.4,111.25,5.71,221.66,339.7,602.66,25.7,13.26,54.8,19.32,48.92,57.63,21.55,26.57,0.36,37
28,Mona Davis,Female,5.53,179,27.1,9.8,12.7,26,9.9,9/15/2021,Soccer,Training,Midfielder,125.46,984.57,1560.23,3.54,17294.52,64.62,8.37,399.25,30.38,623.15,52.83,75.1,6.26,13.81,57.52,22.13,21.91,20.8,1.5,37
29,Grace Irwin,Female,5.68,146,39.9,7.0,13.9,23,10.6,9/16/2021,Soccer,Training,Midfielder,103.97,806.65,6032.04,3.86,13404.18,185.11,4.73,814.37,275.86,218.77,3.31,10.76,0.83,7.0,29.09,37.28,38.44,6.57,4.7,37
30,Ivy Evans,Female,4.59,216,32.9,8.5,17.9,37,7.8,9/17/2021,Soccer,Game,Midfielder,166.39,509.38,4087.66,2.4,805.61,53.88,6.14,739.65,929.51,988.0,45.94,68.56,48.94,86.38,1.17,18.19,6.85,31.9,13.44,38
31,Ivy Nelson,Female,5.72,223,30.9,7.9,11.7,43,7.4,9/19/2021,Soccer,Game,Midfielder,60.86,741.5,9360.91,8.42,10211.1,135.12,8.14,503.59,638.14,290.2,47.33,39.73,35.33,41.71,38.32,39.92,8.74,25.59,4.89,38
32,Jack Quinn,Male,4.84,242,34.9,9.5,23.0,46,6.6,9/21/2021,Soccer,Training,Midfielder,85.99,1004.02,8048.35,2.95,15707.06,131.38,7.93,816.4,934.73,469.26,8.08,38.81,47.74,60.54,33.37,62.02,5.95,36.2,0.35,38
33,Grace Brown,Female,4.63,124,26.6,7.1,14.5,24,8.4,9/22/2021,Soccer,Training,Midfielder,48.93,743.85,839.71,5.75,3178.87,170.7,4.12,526.09,475.06,481.08,5.18,4.95,57.21,86.1,5.83,25.05,40.13,16.13,11.03,38
34,Frank Smith,Male,6.4,135,34.5,6.0,12.4,25,8.9,9/23/2021,Soccer,Training,Midfielder,146.47,426.2,3718.86,1.31,17545.6,142.06,5.59,176.98,811.47,220.83,15.86,12.5,32.08,33.36,40.85,26.56,5.84,12.28,13.12,38
35,Bob Evans,Male,6.43,150,32.5,6.7,20.1,49,9.4,9/24/2021,Soccer,Game,Midfielder,28.11,199.37,944.61,9.29,4379.21,73.1,6.14,743.07,242.33,908.44,18.75,41.59,16.96,23.73,38.96,20.62,31.62,32.33,9.41,39
36,Eve Khan,Female,6.12,114,31.1,7.4,10.6,46,6.8,9/25/2021,Soccer,Training,Midfielder,59.23,215.47,1935.72,0.78,15687.78,84.2,2.75,854.71,556.49,340.56,10.32,37.66,52.94,26.34,24.95,40.29,11.67,14.26,1.77,39
37,Hank Anderson,Male,5.11,167,39.3,7.3,19.3,26,11.6,9/26/2021,Soccer,Training,Midfielder,29.66,752.92,5132.87,0.22,9550.55,177.89,1.3,603.29,127.87,507.18,56.7,51.6,13.25,28.02,29.19,27.47,22.27,35.35,11.76,39
38,Leo Garcia,Male,4.7,120,32.8,9.2,20.5,34,6.2,9/28/2021,Soccer,Training,Midfielder,146.69,1052.58,5285.25,1.56,11565.6,165.0,1.0,235.21,87.71,342.45,64.1,39.63,9.44,51.77,46.69,16.71,23.43,23.23,5.98,39
39,Mona Owens,Female,5.87,240,28.3,8.7,13.2,45,11.8,9/29/2021,Soccer,Training,Midfielder,41.81,1092.32,761.84,1.3,9550.15,166.23,2.46,73.58,757.1,468.37,23.24,71.28,45.61,3.45,33.29,12.95,6.64,32.73,17.54,39
40,Rita Evans,Female,5.38,118,31.9,7.2,10.6,20,5.1,9/30/2021,Soccer,Training,Midfielder,109.06,547.19,5968.22,8.61,14648.29,62.89,7.45,427.41,16.01,778.19,18.58,53.06,43.23,13.12,7.77,10.74,40.8,32.31,10.41,39
41,Alice Khan,Female,4.74,133,38.8,7.8,15.5,43,8.4,10/12/2021,Soccer,Training,Midfielder,159.95,462.86,9358.13,6.83,8025.22,63.45,6.5,282.66,131.98,351.73,31.32,32.5,51.66,75.75,13.27,1.79,1.23,1.62,11.47,41
42,Frank Perez,Male,5.49,177,27.6,6.4,11.5,23,7.3,10/13/2021,Soccer,Training,Midfielder,41.01,1011.58,3672.92,1.48,1297.18,181.94,6.43,359.68,322.44,117.12,41.98,36.71,41.88,44.84,6.65,18.17,24.45,24.55,18.38,41
43,Oscar Jackson,Male,4.57,224,28.2,9.6,11.7,48,8.1,10/14/2021,Soccer,Training,Midfielder,136.61,1001.55,4671.13,2.96,1060.83,182.49,2.76,255.02,799.59,902.23,28.02,37.85,14.06,87.26,28.51,15.3,4.52,15.62,17.93,41
44,Ivy Brown,Female,6.32,216,25.2,9.7,13.8,44,9.0,10/15/2021,Soccer,Game,Midfielder,79.43,165.01,3045.03,3.73,6116.5,149.39,4.73,17.73,909.85,264.23,59.95,7.93,40.08,52.35,63.01,40.58,23.94,22.48,13.33,42
45,Oscar Foster,Male,5.02,151,25.2,9.9,14.4,20,8.0,10/16/2021,Soccer,Training,Midfielder,111.41,279.35,38.2,7.42,10790.21,124.26,3.74,651.74,461.35,283.54,28.63,19.92,51.45,54.7,23.04,22.81,22.95,22.58,5.7,42
46,Paul Lopez,Male,5.83,126,37.4,9.5,17.9,30,7.9,10/17/2021,Soccer,Game,Midfielder,156.41,741.67,4889.47,7.0,10926.81,176.35,5.77,360.37,93.48,791.09,62.0,73.09,59.01,60.67,23.45,1.82,13.99,17.0,10.8,42
47,Tina Smith,Female,5.12,134,36.0,6.7,20.2,37,10.1,10/19/2021,Soccer,Training,Midfielder,170.68,74.97,4374.85,6.52,7500.34,184.44,8.61,712.64,658.2,163.34,61.86,58.04,9.02,7.22,30.71,19.66,11.21,37.57,14.13,42
48,Frank Lopez,Male,5.54,235,30.3,6.2,18.9,33,9.8,10/20/2021,Soccer,Training,Midfielder,45.43,455.22,7879.83,6.72,1401.18,157.7,5.31,19.1,785.5,551.42,6.55,19.69,34.02,69.98,52.58,15.92,10.63,11.31,17.06,42
49,Karen Clark,Female,5.59,243,35.5,8.3,12.2,41,10.8,10/21/2021,Soccer,Training,Midfielder,168.91,286.39,6293.63,2.46,1475.24,66.88,5.68,362.1,57.79,138.87,65.23,19.99,16.55,32.9,42.21,49.5,4.85,19.42,16.47,42
50,Hank Harris,Male,4.87,205,30.9,9.7,12.6,30,6.7,10/22/2021,Soccer,Game,Midfielder,78.02,1105.44,10303.96,0.26,11994.38,136.54,9.89,67.18,865.59,993.31,49.8,13.28,0.72,32.27,6.71,37.03,9.2,11.08,0.54,43
51,Grace Mitchell,Female,6.44,245,39.3,6.7,23.2,29,9.3,10/23/2021,Soccer,Training,Midfielder,146.84,77.98,2375.05,9.61,1209.47,84.73,6.93,165.6,487.53,758.98,9.38,58.38,45.22,69.57,61.61,12.8,37.95,16.61,17.68,43
52,Paul Perez,Male,6.05,101,39.5,6.0,18.4,46,9.1,10/24/2021,Soccer,Game,Midfielder,45.54,1029.25,3289.04,9.28,5867.38,138.91,8.18,579.4,127.76,597.19,47.91,1.86,22.13,50.98,56.3,12.47,32.83,10.45,13.85,43
53,Quincy Brown,Male,6.38,176,30.9,9.2,23.0,49,7.6,10/26/2021,Soccer,Training,Midfielder,28.11,314.44,1108.29,7.96,10206.38,113.23,8.45,989.23,577.18,94.64,42.55,65.87,45.21,87.56,51.98,30.73,6.87,27.94,13.36,43
54,Rita Mitchell,Female,6.29,231,37.8,6.3,15.6,36,8.4,10/27/2021,Soccer,Training,Midfielder,117.85,820.5,2920.26,5.71,15613.35,172.18,5.75,631.16,948.91,248.77,55.67,5.73,6.74,62.28,43.2,46.92,6.75,8.4,6.83,43
55,Quincy Mitchell,Male,5.7,189,36.6,7.7,19.2,23,7.2,10/28/2021,Soccer,Training,Midfielder,165.09,285.45,5447.03,2.27,3656.22,143.68,3.98,641.93,964.53,114.01,18.91,52.69,41.29,7.04,29.06,55.58,7.55,8.26,12.06,43
56,Bob Foster,Male,6.34,188,29.6,8.7,17.9,43,6.0,10/29/2021,Soccer,Game,Midfielder,124.21,379.17,2149.11,8.41,9833.64,167.73,0.47,752.6,777.52,164.96,45.14,9.49,14.53,40.55,53.01,29.27,8.88,16.8,16.84,44
57,Diana Smith,Female,4.68,193,28.5,6.9,14.8,34,6.5,8/13/2021,Soccer,Training,Forward,79.38,455.77,9590.61,2.32,1079.6,112.8,3.76,114.32,845.79,140.12,21.39,5.06,9.93,45.42,5.88,2.41,9.93,22.4,1.41,33
58,Mona Khan,Female,4.89,106,31.9,6.3,17.0,45,5.7,8/14/2021,Soccer,Training,Forward,97.21,956.25,8226.35,1.74,12608.39,131.78,4.9,253.73,911.66,896.52,0.17,34.3,32.24,31.55,14.33,9.34,0.23,0.33,10.32,33
59,Eve Lopez,Female,4.59,194,36.7,9.1,17.5,35,9.8,8/14/2021,Soccer,Training,Forward,76.7,155.79,3405.01,6.27,8422.16,94.23,8.51,83.8,340.13,949.62,22.87,76.67,49.81,65.66,2.93,7.61,33.39,7.75,11.57,33
60,Steve Khan,Male,5.15,207,39.4,8.5,13.0,40,9.6,8/16/2021,Soccer,Training,Forward,69.01,877.43,7223.86,3.27,14744.71,182.78,7.76,690.52,730.88,217.2,19.11,71.39,13.6,44.19,6.02,49.21,2.53,24.81,11.86,33
61,Tina Anderson,Female,5.28,173,36.5,10.0,14.7,32,11.7,8/17/2021,Soccer,Training,Forward,108.96,1069.23,9343.33,0.27,12324.65,136.66,0.45,71.04,984.56,827.07,6.9,5.25,38.54,52.46,41.25,1.39,14.62,30.77,18.05,33
62,Nina Harris,Female,5.04,138,37.8,7.4,21.9,28,10.1,8/17/2021,Soccer,Training,Forward,12.92,127.0,5819.11,3.94,8609.77,71.0,4.23,874.39,478.49,560.5,65.82,33.03,37.96,17.12,39.86,37.15,14.43,6.51,6.63,33
63,Charlie Anderson,Male,6.16,240,34.0,6.2,23.7,30,5.4,8/18/2021,Soccer,Game,Forward,97.27,464.62,9913.22,3.6,15062.0,162.36,6.47,339.51,94.33,943.71,32.87,58.29,57.15,54.68,53.21,52.09,36.47,0.7,6.27,33
64,Hank Harris,Male,5.21,170,37.5,8.9,15.4,30,11.2,8/19/2021,Soccer,Training,Forward,76.98,1005.42,10578.35,7.43,7563.66,64.31,6.95,323.07,865.47,261.73,25.85,48.47,0.72,52.09,27.29,35.49,12.76,17.83,0.74,33
65,Paul Lopez,Male,5.06,155,36.8,8.1,14.6,25,11.0,8/22/2021,Soccer,Training,Forward,60.82,335.37,1111.66,3.41,3257.29,153.08,5.42,506.38,655.19,302.26,46.1,24.35,16.84,33.03,63.83,15.56,25.6,38.17,1.18,34
66,Leo Harris,Male,5.59,141,30.7,6.9,12.9,20,8.1,8/23/2021,Soccer,Training,Forward,156.75,920.36,4063.79,1.11,2860.31,184.55,1.18,714.09,461.17,881.69,52.33,36.62,54.47,77.23,49.08,58.16,22.55,19.81,12.75,34
67,Nina Perez,Female,4.78,135,33.3,9.1,20.2,41,9.1,8/24/2021,Soccer,Training,Forward,136.06,573.31,8697.29,3.92,8847.12,74.19,9.43,849.01,630.93,465.46,46.77,33.27,58.28,45.7,50.53,31.23,35.67,39.18,15.22,34
68,Charlie Jackson,Male,6.1,183,37.1,6.8,14.8,25,11.8,8/24/2021,Soccer,Training,Forward,47.68,508.99,2370.82,3.16,5121.85,80.07,8.41,47.59,745.28,753.84,10.57,74.49,46.87,45.15,57.04,4.81,26.27,39.94,13.85,34
69,Nina Owens,Female,4.65,217,25.7,7.0,24.8,32,8.7,8/25/2021,Soccer,Training,Forward,61.53,1058.12,4927.43,9.95,15447.35,184.43,4.29,600.55,854.7,391.4,12.32,68.14,32.94,53.3,40.3,35.61,13.91,2.99,6.63,34
70,Grace Jackson,Female,6.47,106,37.1,6.4,14.9,41,11.3,8/27/2021,Soccer,Game,Forward,173.57,1121.69,2234.84,7.34,12997.98,178.0,0.8,350.84,484.99,539.3,52.53,43.18,34.61,46.28,12.57,0.1,20.75,25.82,1.56,35
71,Charlie Harris,Male,6.04,153,27.7,7.6,15.9,43,5.6,8/28/2021,Soccer,Game,Forward,56.64,812.6,6437.57,3.49,1675.35,79.21,5.8,66.53,697.99,628.18,51.63,6.57,58.97,47.54,32.59,5.72,5.59,12.83,0.44,35
72,Oscar Harris,Male,4.9,228,32.7,7.7,19.1,41,6.3,8/30/2021,Soccer,Training,Forward,133.09,947.94,3542.48,8.63,11097.34,157.91,5.62,496.62,959.28,929.81,9.18,54.41,34.62,18.75,31.46,61.95,0.51,33.2,5.1,35
73,Eve Brown,Female,4.51,219,37.1,8.1,22.0,24,8.1,8/31/2021,Soccer,Training,Forward,75.94,790.38,10354.89,8.13,15491.43,152.42,1.01,840.84,473.71,749.54,3.72,58.13,11.21,80.46,28.68,2.96,0.81,31.75,4.03,35
74,Hank Nelson,Male,6.13,205,28.8,8.8,17.0,34,9.1,9/1/2021,Soccer,Training,Forward,77.02,376.5,3465.8,1.83,16007.79,96.17,7.11,695.05,365.67,59.75,54.41,42.88,24.76,43.15,1.07,39.81,11.61,37.04,2.45,35
75,Steve Roberts,Male,5.91,146,28.7,9.6,16.3,46,10.7,9/2/2021,Soccer,Training,Forward,46.03,120.39,9020.0,0.54,17080.14,85.37,3.65,500.77,329.62,841.98,4.57,36.71,15.03,41.83,34.13,2.52,11.65,11.33,0.12,35
76,Jack Khan,Male,5.96,222,31.0,6.6,24.9,37,11.9,9/3/2021,Soccer,Game,Forward,167.33,941.9,1294.95,9.21,4205.21,119.21,1.42,175.67,266.08,448.01,47.08,11.73,27.55,22.08,39.49,35.28,28.37,27.88,13.57,36
77,Rita Brown,Female,6.04,240,38.4,6.2,10.2,39,7.7,9/4/2021,Soccer,Training,Forward,103.38,659.23,3393.53,0.57,4456.34,138.9,1.35,241.67,92.13,973.25,55.98,70.13,33.51,53.5,22.07,23.7,2.49,1.52,5.71,36
78,Jack Smith,Male,4.65,218,25.0,6.1,23.4,33,5.3,9/5/2021,Soccer,Game,Forward,161.35,762.36,5762.73,4.47,17376.01,97.49,9.14,398.42,625.84,94.41,11.87,41.97,49.77,56.26,7.58,27.49,29.95,13.74,11.78,36
79,Leo Perez,Male,5.22,249,38.5,6.6,12.2,34,10.6,9/7/2021,Soccer,Training,Forward,86.41,139.55,719.15,8.88,8161.56,81.14,7.24,496.13,881.54,648.16,50.74,9.89,20.09,83.33,42.89,16.76,25.27,1.69,7.7,36
80,Bob Brown,Male,4.73,217,27.3,8.6,21.8,45,9.2,9/8/2021,Soccer,Training,Forward,73.12,514.37,2949.3,4.24,10430.3,123.71,9.74,546.9,785.91,592.18,47.8,25.48,42.67,78.88,26.86,51.65,8.54,11.51,10.4,36
81,Jack Irwin,Male,6.23,120,39.9,8.9,19.3,24,6.4,9/9/2021,Soccer,Individual,Forward,73.22,1047.69,6919.24,4.99,505.03,147.11,5.33,547.44,491.44,314.41,15.36,42.45,17.69,89.92,3.47,24.54,13.51,10.18,7.4,36
82,Leo Evans,Male,5.75,236,39.3,9.1,15.1,45,8.5,9/10/2021,Soccer,Training,Forward,132.27,47.23,6296.62,7.5,10469.01,92.97,7.93,817.01,532.65,809.03,23.47,70.26,20.49,34.61,35.66,55.3,36.01,6.96,10.1,37
83,Tina Foster,Female,5.16,125,32.4,7.0,23.1,23,10.2,9/11/2021,Soccer,Training,Forward,123.36,981.47,7559.28,3.84,910.57,147.62,3.68,427.98,271.36,222.78,21.27,74.59,55.81,33.85,15.27,38.7,15.0,6.91,15.85,37
84,Nina Roberts,Female,4.63,108,32.7,7.2,10.2,21,10.4,9/12/2021,Soccer,Game,Forward,156.48,408.4,4502.61,8.1,8789.03,70.36,3.6,786.78,881.26,640.56,60.88,17.33,1.12,26.88,41.96,4.55,15.72,12.24,16.39,37
85,Quincy Quinn,Male,5.12,114,32.2,7.9,13.4,26,8.5,9/14/2021,Soccer,Training,Forward,13.78,774.88,9569.51,2.61,16010.28,148.3,6.03,165.85,822.29,499.67,29.52,0.17,11.02,44.78,24.57,4.17,5.37,21.35,13.92,37
86,Nina Lopez,Female,5.15,109,34.5,6.3,18.5,29,7.1,9/15/2021,Soccer,Training,Forward,40.85,600.33,4481.47,2.24,8704.1,152.52,7.33,434.6,109.15,195.46,7.39,41.74,8.52,37.23,41.92,11.97,32.05,29.07,5.24,37
87,Charlie Owens,Male,5.96,221,26.4,8.4,15.3,35,11.8,9/16/2021,Soccer,Training,Forward,109.94,825.67,9957.77,3.46,534.96,140.9,9.13,314.33,789.4,970.44,7.88,61.76,57.59,6.41,35.35,33.34,15.48,38.23,17.48,37
88,Hank Brown,Male,5.78,220,25.5,9.9,19.2,29,9.6,9/17/2021,Soccer,Game,Forward,114.02,877.99,7963.87,8.06,3401.1,102.95,6.01,614.81,609.37,368.78,41.45,58.07,50.14,78.95,47.04,61.99,38.27,1.02,2.65,38
89,Nina Nelson,Female,6.27,224,25.9,7.4,10.4,37,7.9,9/18/2021,Soccer,Training,Forward,146.77,247.73,6310.65,2.06,9754.49,84.51,2.54,367.54,610.0,691.24,18.86,4.64,31.69,33.25,52.55,56.25,1.62,22.77,17.64,38
90,Steve Brown,Male,5.44,171,31.7,9.0,11.7,36,7.0,9/19/2021,Soccer,Game,Forward,88.97,739.52,7185.89,1.71,1029.55,108.55,7.2,613.49,264.09,289.88,14.01,48.18,15.55,42.46,35.78,8.46,14.04,39.06,16.47,38
91,Oscar Perez,Male,4.74,148,29.1,8.0,11.9,49,10.1,9/21/2021,Soccer,Training,Forward,145.82,296.69,6108.35,3.22,2915.7,155.74,7.0,191.19,48.18,8.78,21.33,4.51,28.55,45.66,11.06,35.36,35.94,5.23,7.11,38
92,Quincy Owens,Male,5.93,190,34.3,6.5,12.8,40,6.7,9/22/2021,Soccer,Training,Forward,38.86,687.24,3344.9,7.99,9717.23,100.15,2.93,216.88,282.61,328.49,14.2,23.04,50.24,0.91,35.59,19.05,24.7,23.49,15.67,38
93,Karen Jackson,Female,6.02,136,39.9,8.3,16.9,47,6.2,9/23/2021,Soccer,Training,Forward,175.82,1070.74,7227.11,6.84,7502.63,88.03,5.13,980.56,683.5,151.15,12.26,33.41,6.82,62.49,47.12,19.57,8.19,17.46,13.59,38
94,Grace Clark,Female,5.62,167,30.8,7.2,21.3,32,8.7,9/24/2021,Soccer,Game,Forward,173.92,1062.24,9583.84,2.98,6989.89,136.63,5.49,991.39,41.23,418.23,57.84,27.16,48.45,29.01,19.71,53.52,16.16,12.24,5.12,39
95,Oscar Brown,Male,6.04,149,33.6,6.1,23.6,20,7.0,9/25/2021,Soccer,Training,Forward,52.39,159.08,9280.01,2.1,5105.02,117.96,1.44,19.03,995.07,73.36,19.46,72.34,32.18,64.7,42.98,60.04,8.81,13.18,13.75,39
96,Frank Khan,Male,5.49,118,31.2,8.5,22.5,20,9.4,9/26/2021,Soccer,Training,Forward,100.31,566.89,2026.57,2.16,9744.61,73.34,8.33,582.86,420.03,767.35,36.83,67.61,37.2,66.5,27.24,17.43,6.61,5.85,2.05,39
